"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","SauceDemo E2E Testing","0","Inventory Functionality","8","0","Sorting","0"
"0","SauceDemo E2E Testing","0","Login Functionality","2","0","Session Handling","0"
"0","SauceDemo E2E Testing","0","Checkout Functionality","2","0","Remove from Overview","0"
"0","SauceDemo E2E Testing","0","Cart Functionality","2","0","View Cart","0"
"0","SauceDemo E2E Testing","0","Login Functionality","2","0","Performance User","0"
"0","SauceDemo E2E Testing","0","Inventory Functionality","2","0","Multi-tab Behavior","0"
"0","SauceDemo E2E Testing","0","Login Functionality","2","0","Locked User","0"
"0","SauceDemo E2E Testing","0","Inventory Functionality","4","0","Add to Cart","0"
"0","SauceDemo E2E Testing","0","Inventory Functionality","4","0","Product Details","0"
"0","SauceDemo E2E Testing","0","Checkout Functionality","2","0","Valid Checkout","0"
"0","SauceDemo E2E Testing","0","Inventory Functionality","2","0","Remove from Cart","0"
"0","SauceDemo E2E Testing","0","Login Functionality","2","0","Direct URL Access","0"
"0","SauceDemo E2E Testing","0","Checkout Functionality","2","0","Complete Order","0"
"0","SauceDemo E2E Testing","0","Checkout Functionality","6","0","Validation","0"
"0","SauceDemo E2E Testing","0","Checkout Functionality","2","0","Multiple Items","0"
"0","SauceDemo E2E Testing","0","Login Functionality","4","0","Invalid Login","0"
"0","SauceDemo E2E Testing","0","Cart Functionality","2","0","Checkout","0"
"0","SauceDemo E2E Testing","0","Checkout Functionality","2","0","Cancel from Overview","0"
"0","SauceDemo E2E Testing","0","Inventory Functionality","2","0","UI Consistency","0"
"0","SauceDemo E2E Testing","0","Login Functionality","2","0","Valid Login","0"
"0","SauceDemo E2E Testing","0","Login Functionality","2","0","Logout","0"
"0","SauceDemo E2E Testing","0","Inventory Functionality","2","0","Navigation","0"
"0","SauceDemo E2E Testing","0","Checkout Functionality","2","0","Cancel Checkout","0"
"0","SauceDemo E2E Testing","0","Checkout Functionality","2","0","Empty Cart Checkout","0"
"0","SauceDemo E2E Testing","0","Checkout Functionality","2","0","Price Validation","0"
"0","SauceDemo E2E Testing","0","Checkout Functionality","2","0","Overview","0"
"0","SauceDemo E2E Testing","0","Cart Functionality","2","0","Navigation","0"
"0","SauceDemo E2E Testing","0","Cart Functionality","2","0","Persistence","0"
"0","SauceDemo E2E Testing","0","Login Functionality","2","0","Empty Credentials","0"
"0","SauceDemo E2E Testing","0","Checkout Functionality","2","0","Tax Validation","0"
"0","SauceDemo E2E Testing","0","Cart Functionality","2","0","Remove Items","0"
