"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify that an item can be removed directly from the inventory page. This test ensures the cart badge count decreases to 0 after removal.","117","test_remove_item_from_cart_on_inventory_page[firefox]","tests","2026-08-08","passed","2026-08-08","","test_inventory","",""
"Verify that items can be removed from the checkout overview page. This test ensures the item count decreases after removal.","161","test_remove_item_from_overview[firefox]","tests","2026-08-08","passed","2026-08-08","","test_checkout","",""
"Verify that a locked out user cannot log in. This test ensures the appropriate error message is displayed for locked accounts.","256","test_locked_out_user[chromium]","tests","2026-08-08","passed","2026-08-08","","test_login","",""
"Verify that a logged-in user can successfully log out. This test ensures the user is redirected to the login page after logout.","1610","test_logout_flow[firefox]","tests","2026-08-08","passed","2026-08-08","","test_login","",""
"Verify that clearing cookies invalidates the session. This test ensures the user is redirected to login after clearing session cookies.","307","test_session_handling[chromium]","tests","2026-08-08","passed","2026-08-08","","test_login","",""
"Verify that the checkout button correctly navigates the user to the checkout page. This test ensures the checkout flow is accessible from the cart.","70","test_checkout_from_cart[firefox]","tests","2026-08-08","passed","2026-08-08","","test_cart","",""
"Verify checkout process with multiple items in the cart. This test ensures all items are processed correctly during checkout.","219","test_checkout_with_multiple_items[chromium]","tests","2026-08-08","passed","2026-08-08","","test_checkout","",""
"Verify validation error when last name is missing. This test ensures proper form validation and displays appropriate error message for last name field.","54","test_missing_last_name[chromium]","tests","2026-08-08","passed","2026-08-08","","test_checkout","",""
"Verify that a user can cancel from the checkout overview page and return to inventory. This test ensures proper navigation after cancellation.","189","test_cancel_from_checkout_overview[firefox]","tests","2026-08-08","passed","2026-08-08","","test_checkout","",""
"Verify checkout button behavior with an empty cart. This test ensures the checkout flow handles empty cart scenarios correctly.","62","test_checkout_with_empty_cart[firefox]","tests","2026-08-08","passed","2026-08-08","","test_checkout","",""
"Verify that a user can cancel the checkout process and return to the cart page. This test ensures the cancel functionality works correctly.","35","test_cancel_checkout[chromium]","tests","2026-08-08","passed","2026-08-08","","test_checkout","",""
"Verify that clearing cookies invalidates the session. This test ensures the user is redirected to login after clearing session cookies.","687","test_session_handling[firefox]","tests","2026-08-08","passed","2026-08-08","","test_login","",""
"Verify that cart items persist after page refresh. This test ensures data is maintained in the session and cart state remains consistent.","74","test_cart_persists_after_page_refresh[chromium]","tests","2026-08-08","passed","2026-08-08","","test_cart","",""
"Verify that multiple items can be added to the cart. This test checks the cart badge count updates correctly to reflect multiple items.","122","test_add_multiple_items_to_cart[firefox]","tests","2026-08-08","passed","2026-08-08","","test_inventory","",""
"Verify that accessing the inventory page directly without login redirects to the login page. This test ensures proper authentication protection.","148","test_direct_url_access[chromium]","tests","2026-08-08","passed","2026-08-08","","test_login","",""
"Verify validation error when postal code is missing. This test ensures proper form validation and displays appropriate error message for postal code field.","101","test_missing_postal_code[firefox]","tests","2026-08-08","passed","2026-08-08","","test_checkout","",""
"Verify that product details can be viewed by clicking on a product name. This test ensures navigation to the product details page.","64","test_view_product_details[firefox]","tests","2026-08-08","passed","2026-08-08","","test_inventory","",""
"Verify that a new browser tab can be opened and navigated to the inventory page. This test ensures multi-tab functionality works correctly.","579","test_multi_tab_behavior[firefox]","tests","2026-08-08","passed","2026-08-08","","test_inventory","",""
"Verify that products can be sorted by price from high to low. This test ensures products are displayed in descending price order.","65","test_sort_products_by_price_high_to_low[firefox]","tests","2026-08-08","passed","2026-08-08","","test_inventory","",""
"Verify that after completing an order, the user can return to the inventory page. This test ensures proper navigation after successful checkout.","155","test_complete_order_and_return_to_inventory[chromium]","tests","2026-08-08","passed","2026-08-08","","test_checkout","",""
"Verify that login fails with an invalid username. This test ensures an appropriate error message is displayed when the username doesn't exist.","407","test_invalid_username[firefox]","tests","2026-08-08","passed","2026-08-08","","test_login","",""
"Verify that the total price calculation is correct (item total + tax = grand total). This test ensures accurate price computation in the checkout process.","108","test_price_validation[firefox]","tests","2026-08-08","passed","2026-08-08","","test_checkout","",""
"Verify that items can be removed from the checkout overview page. This test ensures the item count decreases after removal.","118","test_remove_item_from_overview[chromium]","tests","2026-08-08","passed","2026-08-08","","test_checkout","",""
"Verify that the cart displays items correctly after adding an item from the inventory. This test ensures the cart item count is accurate and visual verification is captured.","56","test_view_cart_with_items[chromium]","tests","2026-08-08","passed","2026-08-08","","test_cart","",""
"Verify that a new browser tab can be opened and navigated to the inventory page. This test ensures multi-tab functionality works correctly.","245","test_multi_tab_behavior[chromium]","tests","2026-08-08","passed","2026-08-08","","test_inventory","",""
"Verify that the performance glitch user can log in successfully. This test ensures different user types can access the system.","5398","test_performance_user[firefox]","tests","2026-08-08","passed","2026-08-08","","test_login","",""
"Verify that after completing an order, the user can return to the inventory page. This test ensures proper navigation after successful checkout.","256","test_complete_order_and_return_to_inventory[firefox]","tests","2026-08-08","passed","2026-08-08","","test_checkout","",""
"Verify that products can be sorted alphabetically from Z to A. This test ensures products are displayed in descending alphabetical order.","61","test_sort_products_by_name_z_to_a[firefox]","tests","2026-08-08","passed","2026-08-08","","test_inventory","",""
"Verify checkout button behavior with an empty cart. This test ensures the checkout flow handles empty cart scenarios correctly.","48","test_checkout_with_empty_cart[chromium]","tests","2026-08-08","passed","2026-08-08","","test_checkout","",""
"Verify that the checkout button correctly navigates the user to the checkout page. This test ensures the checkout flow is accessible from the cart.","35","test_checkout_from_cart[chromium]","tests","2026-08-08","passed","2026-08-08","","test_cart","",""
"Verify that a user can successfully remove an item from the cart. This test ensures the cart updates correctly after removal and the item count becomes zero.","58","test_remove_item_from_cart[firefox]","tests","2026-08-08","passed","2026-08-08","","test_cart","",""
"Verify that login fails when both username and password are empty. This test ensures validation requires both fields to be filled.","351","test_empty_username_and_password[firefox]","tests","2026-08-08","passed","2026-08-08","","test_login","",""
"Verify that products can be sorted alphabetically from Z to A. This test ensures products are displayed in descending alphabetical order.","32","test_sort_products_by_name_z_to_a[chromium]","tests","2026-08-08","passed","2026-08-08","","test_inventory","",""
"Verify that the total price calculation is correct (item total + tax = grand total). This test ensures accurate price computation in the checkout process.","73","test_price_validation[chromium]","tests","2026-08-08","passed","2026-08-08","","test_checkout","",""
"Verify that the checkout overview page displays all cart items correctly. This test ensures item count and details are shown on the overview page.","56","test_checkout_overview_page[chromium]","tests","2026-08-08","passed","2026-08-08","","test_checkout","",""
"Verify that an item can be added to cart from the product details page. This test ensures the cart badge updates correctly after adding from details page.","151","test_add_item_from_product_details_page[firefox]","tests","2026-08-08","passed","2026-08-08","","test_inventory","",""
"Verify that the Continue Shopping button navigates the user back to the inventory page. This test ensures proper navigation flow from cart to inventory.","37","test_continue_shopping_from_cart[chromium]","tests","2026-08-08","passed","2026-08-08","","test_cart","",""
"Verify that a single item can be successfully added to the cart. This test checks the cart badge count updates to 1 after adding an item.","99","test_add_single_item_to_cart[firefox]","tests","2026-08-08","passed","2026-08-08","","test_inventory","",""
"Verify that multiple items can be added to the cart. This test checks the cart badge count updates correctly to reflect multiple items.","66","test_add_multiple_items_to_cart[chromium]","tests","2026-08-08","passed","2026-08-08","","test_inventory","",""
"Verify that the cart can be navigated to from the inventory page. This test ensures the cart icon correctly navigates to the cart URL.","135","test_navigate_to_cart_from_inventory[firefox]","tests","2026-08-08","passed","2026-08-08","","test_inventory","",""
"Verify that a single item can be successfully added to the cart. This test checks the cart badge count updates to 1 after adding an item.","103","test_add_single_item_to_cart[chromium]","tests","2026-08-08","passed","2026-08-08","","test_inventory","",""
"Verify that the cart can be navigated to from the inventory page. This test ensures the cart icon correctly navigates to the cart URL.","71","test_navigate_to_cart_from_inventory[chromium]","tests","2026-08-08","passed","2026-08-08","","test_inventory","",""
"Verify validation error when first name is missing. This test ensures proper form validation and displays appropriate error message.","120","test_missing_first_name[firefox]","tests","2026-08-08","passed","2026-08-08","","test_checkout","",""
